date_prevision,animal_type,prix_predit
2025-12-17 11:30:04.487757,porc,29773.05
2026-01-16 11:30:04.487757,porc,29773.05
2026-02-15 11:30:04.487757,porc,29773.05
2025-12-17 11:30:04.490170,porcelet,29773.05
2026-01-16 11:30:04.490170,porcelet,29773.05
2026-02-15 11:30:04.490170,porcelet,29773.05
2025-12-17 11:30:04.491234,truie,20608.8
2026-01-16 11:30:04.491234,truie,20608.8
2026-02-15 11:30:04.491234,truie,20608.8
2025-12-17 11:30:04.492213,verrat,134793.17
2026-01-16 11:30:04.492213,verrat,134793.17
2026-02-15 11:30:04.492213,verrat,134793.17
